,ASANAČNÝ PODNIK ,BAGAROVA ,BRATISLAVSKÁ ,BRODNO ,BRODŇANSKÁ ,BUDATÍNSKA ,BYTČIANSKA ,"BYTČIANSKA,STS ",CENTRÁLNA ,CESTÁRSKA ,CINTORÍNSKA ,DOLNÁ ,DOLNÁ TRNOVSKÁ ,FATRANSKÁ ,FURDEKOVA ,CHLMECKÁ ,HÁLKOVA ,HLINSKÁ ,HOLLÉHO ,HORNÁ TRNOVSKÁ ,HÔRECKÁ ,HRIČOVSKÁ ,PRIEHRADA ,HURBANOVA ,HVIEZDOSLAVOVA ,HYZA ,JAKUBSKÁ ,JASEŇOVÁ ,JASTRABIA ,JEDĽOVÁ ,"KAMENNÁ,DOM.POT ","KAMENNÁ,KOVOŠRO ","KAMENNÁ,Š.O.K. ","KAMENNÁ,PRIUS ",K CINTORÍNU ,KOLIBA ,KOMENSKÉHO ,KORTINSKÁ ,KOŠICKÁ ,KRAGUJEVSKÁ ,KVAČALOVA ,KYSUCKÁ ,LETNÁ ,LIMBOVÁ ,MAGOČOVSKÁ ,MATEJA BELA ,MOSTNÁ ,MATICE SLOVENSK ,MOTEL ŠIBENICE ,NA LÁNY ,NA STANICU ,NÁM.SV.JÁNA BOS ,NÁM.HRDINOV ,NA STRANÍK ,OBCHODNÁ ,OCELIARSKA ,OSLOBODENIA ,OVOCINÁRSKA ,PAŽITE ,PIETNA ,POD KOZINOM ,POD VINICOU ,POD ZÁHRADKOU ,POLÍCIA ,POĽNÁ ,POŠTOVÁ ,POTOKY ,PREDMESTSKÁ ,PRI CELULÓZKE ,PRIEHRADNÁ ,PRIELOŽNÁ ,PRIEMYSELNÁ ,PRI KYSUCI ,"RAJECKÁ,ELV ","RAJECKá,MLIEK. ","RAJECKÁ,STAVOMO ",RAKOVÉ ,RÁZCESTIE HRIČO ,RÁZUSOVA ,ROSINKY ,"ROSINSKÁ,PLEM.P ","ROSINSKÁ,VÚVT ",RUDNAYOVA ,SALAŠ ,SALEZIÁNSKA ,SLNEČNÉ NÁMESTI ,SMREKOVÁ ,SPANYOLOVA ,STODOLOVA ,SV.CYRILA A MET ,"ŠIBENICE,STK ",ŠTEFÁNIKOVO NÁM ,ŠTÚROVO NÁMESTI ,TAJOVSKÉHO ,TULIPÁNOVÁ ,ÚDOLNÁ ,VEĽKÁ OKRUŽNÁ ,ŽIL.UNIVERZITA ,VETERNÁ ,VRANIA ,"BÁNOVÁ, COLNICA ",VYSOKOŠKOLÁKOV ,ZÁBREŽNÁ ,PRÍPOJNÁ ,ZÁVODSKÁ ,ZÁVODSKÉHO ,ŽITNÁ ,ŽEL.STANICA ,KULTURNY DOM ,ZVOLENSKA ,Rybné námestie ,Careefour ,"Košická,Tesco H ","Na Horevaží,Tes ",Pod Hájom ,Bánovská cesta ,Bernolákova ,ŽILINSKÁ LEHOTA 
OSLOBODENIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,4,1,0,0,0,1,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0
OVOCINÁRSKA ,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,6,0,0,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0
PAŽITE ,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0
PIETNA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POD KOZINOM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POD VINICOU ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
POD ZÁHRADKOU ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLÍCIA ,0,2,0,0,1,1,0,1,16,0,1,0,0,55,0,0,5,31,0,1,18,0,0,8,0,0,5,80,0,1,0,0,0,0,1,0,1,1,0,0,2,1,2,84,3,47,7,178,0,0,1,1,2,3,33,0,0,1,0,0,0,0,0,0,52,9,0,4,1,0,0,0,1,3,1,0,1,0,0,1,31,1,71,0,1,112,144,8,223,77,0,9,1,3,12,1,0,14,0,2,0,4,0,3,12,10,15,10,2,10,1,10,2,0,11,0,0,0
POĽNÁ ,0,1,0,3,4,7,4,5,0,0,4,0,2,60,1,1,14,3,1,4,1,0,0,85,0,0,4,16,0,0,0,0,0,0,0,0,6,2,0,1,1,22,2,26,4,12,5,126,0,4,2,1,4,3,22,0,4,8,0,0,0,1,0,56,0,12,1,19,1,1,0,0,5,3,0,0,2,0,1,0,2,2,2,0,0,30,16,14,74,37,0,47,13,1,1,6,1,23,0,1,0,5,1,1,8,6,4,154,2,3,4,3,18,0,2,0,0,1
POŠTOVÁ ,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,2,1,2,2,0,0,0,0,25,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,7,0,1,3,11,0,0,2,1,2,0,0,1,0,0,1,0,0,0,0,12,14,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,2,6,6,10,4,2,0,10,12,0,0,1,0,1,0,0,0,0,0,0,5,0,2,14,10,2,1,0,0,1,2,0,1,0
